,Alameda County,Los Angeles County,Merced County,Riverside County,San Diego County,San Mateo County,Santa Barbara County,Santa Clara County,Santa Cruz County,,,,,,,,,,,,,,,,,,,,
1990,11.82,6.49,7.82,5.8,7.29,16.51,5.56,14.68,17.57,,,,,,,,,,,,,,,,,,,,
1991,16.02,15.07,11.12,11.84,13.51,25.13,17.83,20.84,29.42,,,,,,,,,,,,,,,,,,,,
1992,19.72,22.65,11.03,12.8,12.81,30.69,21.41,24.44,32.81,,,,,,,,,,,,,,,,,,,,
1993,23.79,23.5,15.83,17.22,17.26,32.79,23.28,28.38,38.24,,,,,,,,,,,,,,,,,,,,
1994,16.71,8.66,11.57,9,9.43,25.64,14.81,17.03,26.69,,,,,,,,,,,,,,,,,,,,
1995,27.68,23.65,17.7,16.33,17.04,41.36,39.18,35.6,48.05,,,,,,,,,,,,,,,,,,,,
1996,28.63,17.75,18.42,9.15,7.27,41.25,27.89,37.89,52.44,,,,,,,,,,,,,,,,,,,,
1997,18.37,10.69,9.25,9.03,7,28.48,18.52,23.63,30.73,,,,,,,,,,,,,,,,,,,,
1998,31.87,27.85,21.66,18.45,16.05,48.96,37.96,39.85,55.65,,,,,,,,,,,,,,,,,,,,
1999,15.68,8.06,8.53,4.24,5.43,25.57,10.39,18.88,29.13,,,,,,,,,,,,,,,,,,,,
2000,21.69,11.93,16.11,6.43,6.9,33.45,23.95,26.19,39.53,,,,,,,,,,,,,,,,,,,,
2001,22.27,19.6,13.76,8.79,8.47,35.12,27.39,27.1,40.19,,,,,,,,,,,,,,,,,,,,
2002,18.34,7.35,10.7,4.45,4.23,27.64,15.33,22.15,32.07,,,,,,,,,,,,,,,,,,,,
2003,16.43,13.37,9.02,10.59,9.18,24.98,15.38,20.36,28.17,,,,,,,,,,,,,,,,,,,,
2004,18.35,20.1,14.76,13.61,13.29,27.64,17.59,22.27,31.47,,,,,,,,,,,,,,,,,,,,
2005,24.52,26.61,16.15,14.8,14.11,37.5,30.24,28.98,43.04,,,,,,,,,,,,,,,,,,,,
2006,21.35,11.61,15.44,4.72,6.15,32.82,17.63,26.31,37.68,,,,,,,,,,,,,,,,,,,,
2007,11.57,5.66,6.55,3.43,4.37,16.66,4.97,12.84,17.15,,,,,,,,,,,,,,,,,,,,
2008,14.18,14.43,10.18,6.01,11.11,22.4,15.28,18.49,27.31,,,,,,,,,,,,,,,,,,,,
2009,17.32,9.39,12.07,1.9,5.5,24.42,10.03,21.46,28.33,,,,,,,,,,,,,,,,,,,,
2010,23.17,23.09,18.26,0.32,16.26,35.46,16.81,30.07,42.26,,,,,,,,,,,,,,,,,,,,
2011,14.53,12.26,11.74,5.89,9.08,22.94,16.97,19.71,28.46,,,,,,,,,,,,,,,,,,,,
2012,20.78,8.15,10.34,4.08,6.64,33.17,13.45,25.16,36.02,,,,,,,,,,,,,,,,,,,,
2013,5.08,3.6,8.71,5.47,5.57,6.19,3.95,5.12,6.07,,,,,,,,,,,,,,,,,,,,
2014,19.88,9.77,9.53,7.22,7.77,28.55,11.94,24.39,33.51,,,,,,,,,,,,,,,,,,,,
2015,10.39,7.66,6.9,7.37,9.89,14.07,4.9,13.73,17.02,,,,,,,,,,,,,,,,,,,,
2016,22.55,11.8,4.72,9.86,10.23,33.08,15.26,29.64,40.44,,,,,,,,,,,,,,,,,,,,
2017,24.97,13.24,13.49,8.91,7.92,36.79,22.19,31.53,47.63,,,,,,,,,,,,,,,,,,,,
2018,16.57,8.86,10.93,8.11,7.65,22.73,12.75,21.1,27.33,,,,,,,,,,,,,,,,,,,,
2019,22.29,21.55,15.43,15.63,15.28,34.33,28.31,32.17,46.24,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
